ticker,year,revenue,gross_profit,operating_income,ebitda,net_income,gross_profit_margin,ebitda_margin,net_profit_margin,roe,roa
TAVHL,2023,34433068000.0,13289634000.0,6502355000.0,10189351000,7530074000,38.59555587669388,29.5917604553855,21.86872804944363,16.38082266989601,4.86354232462573
TCELL,2023,102962781000.0,22698149000.0,23597752000.0,57064897000,12553996000,22.04500381550494,55.42283963755796,12.19275147589496,10.26930059177579,5.080875449607941
THYAO,2023,504398000.0,119446000.0,71425000.0,119899000,163003000,23.68090277915456,23.77071281012217,32.31634542563611,35.64800538865452,15.52274993310104
TOASO,2023,127601000000.0,23159306000.0,14008004000.0,17946019000,15083439000,18.14978409260116,14.06416799241385,11.8207843198721,40.89915710545976,19.17370998964691
TRALT,2023,8107187000.0,3433328000.0,590994000.0,1324161000,406090000,42.3491896757778,16.33317450306746,5.009012373835709,1.969440380477511,1.758833516006472
TRMET,2023,8596758000.0,3331379000.0,253974000.0,1111288000,363327000,38.75157355831117,12.92682660137694,4.226325784673711,2.757659583608408,1.341455508043409
TSKB,2023,158447060900.7895,29236805594.78947,3568257000.0,18955421095,2869690000,21.48247707392389,15.98183165495174,-0.2990060422181947,26.736070365376,3.584559479409417
TTKOM,2023,100184658000.0,21868715000.0,-4858252000.0,30618817000,16421552000,21.82840710001725,30.56238111827462,16.39128418245436,16.70720952952651,8.433380215140566
TUPRS,2023,686528507000.0,109732388000.0,73627774000.0,79691308000,53577336000,15.98366082123958,11.607865833312,7.804094870600908,26.68682400757872,14.6069411617141
TURSG,2023,158447060900.7895,29236805594.78947,10267860592.31579,18955421095,6186049487,21.48247707392389,15.98183165495174,-0.2990060422181947,49.3881403713351,8.107822207553951
ULKER,2023,55836141000.0,16176560000.0,10992915000.0,12177023000,3378878000,28.90454611423886,21.80849675839883,6.051417486032927,18.80138433041952,5.48611386680527
AEFES,2024,231354487000.0,91007899000.0,26050243000.0,37504573000,13117092000,39.33699327819823,16.21718690633272,5.669694229876769,15.60794413915873,3.724108390412435
ARCLK,2024,428548223000.0,118102036000.0,7122426000.0,23672423000,1689082000,27.55863393231244,5.946729173984706,0.394140474594851,2.514606714206951,0.4246847542612959
ASELS,2024,120205594000.0,38158191000.0,27315635000.0,30615169000,15298743000,31.74410585251132,25.16426668376776,12.72714729066603,10.90438950640404,6.301029585101471
ASTOR,2024,26624069648.0,9207523139.0,6599287382.0,7462395060,5024880084,34.58345497414093,28.02875427634173,18.87344853898949,24.12984209961368,16.91523939254488
BIMAS,2024,519566633000.0,90817135000.0,5301727000.0,22514303000,18586744000,17.47940095298614,4.333285005236277,2.583979591916266,15.799665472944,7.880787529078745
BRSAN,2024,55065658000.0,3606985000.0,1709296000.0,3128656000,-226612000,6.550334874778033,5.681682764963964,-0.4115305405049369,-0.7529034836487891,-0.4087587712308588
